target,cluster
kid,0
education,0
parent,0
public education,0
foreign language class,5
language education,0
language study,5
mandatory college,0
language study,5
language study,5
culture,5
extreme parenting,5
success,5
making happy,5
independence,1
way achieving success,5
individualism,1
land,5
property right,5
prescriptive easement,5
beachfront home,5
prescriptive easement law,1
beach access,5
prescriptive easement,5
public access,5
veganism,3
veganism,3
balanced diet,5
everyone,5
vegan diet,3
veganism,3
omnivore,3
health,5
electric car,5
electric car,5
renewable energy,5
movie,5
syria,6
syria,6
military intervention,5
veganism,3
vegetarianism,3
meat,5
mother teresa,5
honor,5
antiabortion,1
nato,6
support ukraine,6
nato,6
number,5
ukranian civil war,1
national security,5
defense,5
nato,6
international,5
vaccination,1
vaccine,1
vaccine safety,1
mandatory child,0
safety vaccine,1
vaccine,1
vaccine injury,1
happy hour,5
drunk driving,5
alcohol certain establishment,5
tuition cap,0
current financial aid system,5
college cost,0
free college,0
child,0
learn,5
education,0
parent,0
homework,0
homework,0
critical thinking,5
u.s,6
luis masada,6
us cuban foreign relation,5
attack cuba,6
sanction,5
us cuba relation,5
terrorism,1
company,5
hsbc,6
hsbc,6
drug cartel,2
threat,5
low wage immigrant,5
immigrant,4
economics,1
regulating marketplace,5
business regulation,5
helping public,5
marketplace regulation,5
supporting one 's country,5
trump presidency,1
patriotism,1
country,5
dual citizenship,1
american expat,6
citizenship,4
city,5
city tax,1
social service,5
tax,1
helping condo developer,5
developer,5
taxation,1
tax building,1
dual citizenship,1
eu passport,6
dual citizenship,1
citizenship,4
company,5
regulation,1
safety law,5
steel mill,5
legitimate threat,5
technology,5
planet,5
population growth,5
overcrowding,5
population,5
technology,5
overpopulation,1
reparation,5
slave,5
slave reparation,5
former colonial power,5
slave reparation,5
slave reparation,5
economic condition black population,5
judge speaking,5
free speech,5
judicial bias,1
justice,5
marijuana,2
marijuana,2
morality,1
gateway drug,2
legality,1
racial minority,5
company,5
corporate polluter regulation,1
polluter,1
people,5
entertainment,5
junk candidate,5
medium,5
tip,5
restaurant worker,5
tip,5
tip restaurant,5
waiter,5
low wage,5
american worker,5
threat,5
immigration,4
immigrant impact american job security,5
immigration,4
public university,0
college,0
university system,0
uc school,0
state tuition,0
intestate collage acceptance,5
intestate college tuition,0
college tuition,0
college acceptance,0
sport program undergraduate school,0
sport,5
company,5
business regulation,5
regulation benefit,5
government regulation,1
dual citizenship,1
multi citizenship,1
immigration,4
government,1
airline fare,5
taxpayer fund airport,1
airline industry,5
tax,1
current flight price,5
airport funding,5
war,1
foreign policy,5
government budget,1
military base,5
war,1
war funded tax dollar,1
department defense,5
american policing country,5
gateway drug,2
marijuana,2
marijuana legalization,2
cant take position,5
illegal activity,5
illegal activity drug,2
marijuana,2
marijuana legalization,2
drug legalization,2
marijuana,2
mother teresa,5
bad moral,5
substandard medical care,5
walmart,6
walmart 's economic progress,5
public opinion,5
walmart grocery,5
healthier,5
walmart,6
walmart,6
walmart getting economically environmentally friendly,5
israel,6
none,5
palestine,6
jordan,6
palestinian state,6
palestinian state,6
electric car,5
electric vehicle,5
electric car,5
israel,6
israel national identity,6
israel,6
nuclear transparency,5
israeli exceptionalism,6
mother teresa,5
mother teresa,5
mother teresa,5
mother theresa,5
woman,5
raising family,5
extended family,5
c section,5
c section,5
family makeup,5
motherhood,1
raising family,5
child raised elder,5
kid,0
challenge oneself,5
auditing algebra,0
algebra,0
audit algebra,0
subject,5
basketball,0
pro game,5
modern basketball,5
foul,5
winning record,5
wilt chamberlain,5
electric car,5
technological improvement,5
electric vehicle,5
late pregnancy,5
childbirth,1
motherhood,1
age child,0
motherhood,1
woman child bearing,5
age kid,0
pregnancy,1
rim,5
nba basketball,6
raising rim,5
tall basketball player,5
basketball,0
us,5
possible regime change,5
u.s. intervention libya,6
al qaeda,5
syria,6
us intervention,5
syrian intervention,6
assad,6
charter school,0
charter school,0
child,0
charter school,0
cherrypicking student,0
charter school acceptance policy,0
charter school,0
charter school,0
capital gain,5
tax cut,1
tax,1
income tax,1
sleep,5
school start time,0
eight hour sleep,5
sleep,5
graduate,0
greater success,5
marriage,1
child without father,5
extreme parenting,5
father figure,5
stepchild,5
same sex college,0
woman 's college,0
college,0
single sex college,0
people,5
teach,0
high school civics course,0
high school civics course,0
foreign language class,5
college bilingual requirement,0
benefit bilingual,5
mandatory college,0
europe,6
required foreign language,5
multi lingual,5
veganism,3
developing brain,5
real food,5
baby food,5
real food,5
nina,6
brain food,5
credential,0
real food,5
nutrition baby,5
company,5
automobile regulation,5
vw car,5
uncontrolled waste disposal,5
vw,6
prozac,5
depression,5
medicine,5
depression,5
reparation,5
slavery,1
former colonial power,5
slavery,1
african american seek reparation west african kingdom,6
percentage slave ownership 1860,5
veganism,3
veganism,3
vegan,3
vegan,3
veganism,3
balanced diet,5
diet,5
dual citizenship,1
dual citizenship,1
dual citizenship,1
capital gain,5
tax,1
tax reform,1
tax rate,1
extreme parenting,5
parent,0
bully,5
dual citizenship,1
citizenship,4
passport,4
citizenship,4
capital gain,5
income,1
lower taxation capital gain,5
unfairness taxation,1
dividend,1
lowering tax senior 's cd,5
vaccination,1
parent,0
science,5
child,0
history,5
parent,0
mandatory child,0
parental right,5
choice,5
israel,6
israel,6
us support israel,6
middle east,5
bank,5
deregulation bank,1
government,1
corporate lobbying,1
big bank,5
bank deregulation,1
deregulation bank,1
bank,5
city,5
architecture,5
superstar architect,5
local talent,5
local architect,5
architecture,5
architect,5
architecture,5
workplace,0
japan,6
debate technique,5
tip,5
practice tipping,5
restaurant,5
tip,5
tip,5
restaurant,5
public university,0
low income student,0
free college,0
lack support white middle class student,5
higher education funding,0
intestate student,0
foreign student,0
student aid,0
middle class college burden,0
student loan,0
college expense,0
colorado,6
alcohol,2
alcohol law,1
maureen dowd,6
pot,2
marijuana,2
legalizing marijuana,2
fema,6
homogeneous community,5
fema,6
rim,5
peach basket,5
height basket,5
changing height basket,5
basketball,0
peach basket,5
problem,5
immigrant,4
undocumented immigrant,4
immigrant displacement american job,5
immigration,4
illegal immigrant,4
illegal immigration,4
immigrant,4
tax break,1
financial aid,5
cost education,0
wealthy college,0
financial aid,5
financial support student,0
threat,5
iran,6
iran,6
propaganda,1
iran,6
iran threat,6
iran,6
propaganda,1
iran,6
animal mutilation,5
animal cruelty,5
pet,5
owning pet,5
motherhood,1
child,0
childbearing,1
woman,5
motherhood late age,5
baby,5
raising grandchild,5
harm,5
obama,6
drone strike,5
terrorism,1
attack,5
drone strike,5
drink strike,5
marijuana,2
marijuana,2
gateway drug,2
weed legalization,2
alcohol,2
marijuana,2
child,0
parent,0
philosophy,5
parental involvement,0
hand parenting approach,5
parent,0
philosophy,5
parenting approach,5
child,0
farm subsidy,1
agriculture,1
import food,5
national security,5
farm subsidy,1
farm subsidy program,5
farm,5
nation,5
israel,6
israeli palestinian conflict,6
israeli national interest,5
violence middle east,5
palestinian state,6
israel,6
israel violent place,6
economy,1
attack,5
america 's fight terrorist,5
drone,5
harm,5
terrorist,6
fema,6
disaster relief,5
private industry,5
business,5
retail bank,5
banking regulation,1
wealthy college,0
tax law,1
nonprofit,0
tax break,1
tax,1
tax system,1
pot,2
big marijuana,2
marijuana,2
people,5
television,5
quality life,5
wealthy college,0
university,0
tax,1
tax subsidy non profit,1
tax break,1
manufacture,5
land taxation,1
parent,0
benefit family vacation,5
leisure trip,5
family trip,5
family togetherness,5
educational vacation,0
vacation,5
family vacation,5
vacation,5
travel,5
extreme parenting,5
m small,5
veneration happiness,5
letting people want make happy..important critical moderation,5
western value,5
greater success,5
life,5
contemporary life,5
contemporary western life,5
carelessness,5
same sex college,0
college,0
woman 's college,0
attack,5
terrorism,1
drone strike,5
airport security,5
six year,5
public education,0
early college,0
road block education,5
school system,0
education,0
high school,0
high school,0
making public education optimizable student,0
highscool early college availability,0
student frustration education system,0
highschool,0
new employee,5
employment,1
noncompete,1
noncompete deal,1
lawsuit,5
free marketplace,5
walmart,6
high fructose corn syrup,5
walmart,6
healthier,5
walmart,6
sugar reduction,5
walmart,6
bad deal city state,5
conservative member gop,1
privatization,1
regulation,1
privatization,1
privatization,1
big bank,5
regulation,1
big company,5
powerful politician,5
control,5
criminal,5
foreign settlement,5
settlement,5
u.s. president,6
bailouts,1
prostitution,2
paying sex,5
pay sex,5
nonprofit status,5
tax,1
tax policy,1
tax,1
sport league,5
tax,1
single tax rate,5
tax,1
immigration,4
nonnative student,0
legal immigration,4
illegal immigration,4
problem,5
legal immigrant,4
legal immigration,4
illegal immigration,4
veganism,3
vegan,3
advantage plant based diet,5
veganism,3
vegan,3
veganism,3
popularity veganism,3
consuming animal product,5
healthier eating habit,5
veganism,3
capital gain,5
tax,1
economic growth,5
woman,5
insurance,1
midwife,1
home birth,5
kid home,0
home birth,5
homebirth,1
home birth,5
vaccination,1
vaccinate,1
vaccination,1
freedom,5
mandatory child,0
parent 's deciding vaccination,5
parent guardian kid,0
arm,5
u.s. arm industry,5
us military,5
arm,5
colorado,6
drug legalization,2
drug trial,2
legalize colorado,2
legalization,2
pot,2
drug legalization,2
lab experiment,5
rat experiment,5
israel,6
israel,6
military support,5
experience,5
teacher,0
teacher,0
teacher,0
public school teacher,0
farm subsidy,1
fertilizer,5
farm subsidy,1
farmer,5
national security,5
farm,5
farm subsidy,1
vfdd market,5
new apps,5
elite restaurant,5
business 's,5
reservation,5
restaurant overhead,5
way people get popular restaurant,5
show reservation,5
deposit reservation,5
elite restaurant,5
mother teresa,5
catholic church,0
sainthood,1
people,5
culture,5
society going downhill,5
hippie overthrow american culture,5
history society,5
cold war,5
noncompete deal,1
workplace,0
wage,1
business owner,5
former colonial power,5
minority citizenship,1
human trafficking slave trade,5
reparation,5
slave trade,5
immigration,4
parent,0
complete privacy child,5
baby boomer,5
censorship,1
generation,5
palestinian state,6
gaza,6
palestinian independence,6
rebuild gaza,6
rebuild gaza,6
arab n't care palestinian,6
foreign aid,5
foreign aid,5
helping palestinian,6
gaza,6
fema,6
working together,5
disaster relief,5
disaster,5
tip,5
wage inequality due tipping,1
restaurant,5
restaurant owner favour tipping,5
restaurant,5
tip,5
tip,5
restaurant,5
vaccination,1
vaccination,1
us childhood vaccination,1
mandatory child,0
childhood vaccination,1
childhood vaccination,1
vaccination side effect,5
kid,0
curriculum,0
school curriculum,0
crime,5
analogy,5
statistic,5
land,5
public beach access,5
beach access,5
rental company,5
beachfront home,5
public access shore,5
unrestricted shore access,5
protecting beach,5
responsibility shore,5
rental car,5
fee,5
banker,5
banking system,5
paying banker investment,5
syria,6
assad,6
civil war,1
islam,6
hezbollah,6
civil war theory,5
civil war,1
syrian civil war,6
civil war,1
fear war,5
drug war,2
smart phone addiction,5
mother teresa,5
flag burning,5
racism,1
sanction,5
electric car,5
high speed rail,5
patent monopoly,5
land,5
foreign language class,5
college student vote,0
overcrowding,5
racism,1
attack,5
vegan,3
western diet,5
birthright citizenship,1
matter election,1
immigrant,4
public preschool,0
american lower class,5
isi,6
prozac,5
cherrypicking student,0
intestate collage acceptance,5
tip,5
background check,5
harm,5
royal extravagance,5
technological distraction,5
iran,6
nonprofit status,5
tip,5
overcrowding,5
noncompete deal,1
high school hour,0
affirmative action,5
altruism,1
continuing education,0
changing tax code,5
farm,5
current flight price,5
affirmative action,5
illegal immigration,4
threat,5
republican,1
medical website,5
rich politicans,5
iran,6
tax policy,1
israel,6
cherrypicking student,0
charging extra different item restaurant,5
tax break,1
felon,1
same sex college,0
attack,5
taxing stock purchase,5
nation,5
newspaper,5
capital gain,5
vaccine,1
dream,5
mandatory college,0
state internship,0
public preschool,0
undocumented worker,5
war,1
marijuana,2
tax break,1
privatization,1
college student vote,0
mandatory child,0
marijuana,2
fifa,6
child,0
capital gain tax,1
usa embassy 's support israel,6
us foreign policy,5
child,0
new employee,5
sport program undergraduate school,0
speech,5
mandatory child,0
electric car,5
company,5
quran,6
prozac,5
colorado,6
adult,0
public school system,0
miss america,6
tip,5
israel,6
capital gain tax,1
illegal immigration,4
tip,5
cherrypicking student,0
cat,5
capital gain,5
city,5
prison rehabilitation punishment,5
tax break sport league,5
marijuana,2
censorship,1
richard bove,6
affirmative action,5
healthier,5
gene,5
sport program undergraduate school,0
gateway drug,2
interspecies genocide,1
status teacher,0
globalization,1
farm,5
international cooperation,5
capital gain,5
income,1
veganism,3
college student vote,0
farm,5
drilling,5
bank lending,5
research paper,5
vaccination,1
europe,6
us diplomatic effort iran,5
research paper,5
affirmative action,5
home schoolers,0
company,5
colorado,6
patent monopoly,5
marijuana gateway drug,2
vaccination,1
gateway drug,2
take family driving trip,5
jail record,5
parent,0
free intestate tuition,0
isi,6
motherhood,1
involved parenting,5
no tipping restaurant,5
bad deal city state,5
wal mart 's unfair competition,5
tax break,1
extreme parenting,5
immigration,4
lack support white middle class student,5
polygamy,1
worker,5
felon,1
kid,0
american working farm,5
mother teresa,5
moral defense slavery,1
income,1
marijuana,2
sleep,5
illegal immigration,4
colorado,6
law,1
government regulation food industry,5
social service,5
palestine,6
felon,1
happy hour,5
vegan diet,3
farm,5
arming syrian insurgent,6
modern airline,5
pregnancy age,5
city,5
beachfront home,5
gamble,5
medical website,5
fee,5
threat,5
free,5
u.s,6
overcrowding,5
refugee,4
affirmative action,5
europe,6
tip,5
marijuana,2
status teacher,0
wealthy college,0
heroin,2
new employee,5
reservation,5
tax capital gain,1
affirmative action,5
status public teacher,0
cherrypicking student,0
israel,6
mandatory child,0
head start,5
oil price,5
marijuana,2
security company,5
illegal immigration,4
lifting embargo,1
free intestate tuition,0
tax break,1
school privatization,0
smart investment,5
u.s,6
immigration,4
extreme parenting,5
vaccination,1
child,0
cat,5
tax break rich,5
royal couple,5
beachfront home,5
way people get popular restaurant,5
greater success,5
foreign language class,5
supreme court influencing election,5
company,5
workplace,0
tfa,6
judge politics,5
problem,5
minor violation,5
tip,5
illegal immigration,4
high unemployment rate african american,5
none,5
gateway drug,2
religious right,5
advice eating well,5
vacation,5
nation,5
capital gain,5
worker,5
childhood education,0
teacher training us,0
non compete,5
veganism,3
employee,5
rewarding healthy behavior,5
college rating,0
immigration policy,4
national security,5
control,5
monarch,5
bad deal city state,5
beachfront home,5
sport program undergraduate school,0
none,5
office layout,5
greater success,5
harmful atmosphere gay,5
modern basketball,5
walmart,6
overcrowding,5
tax break thing benefit wealthy,5
attack,5
state internship,0
healthier,5
extremism,1
same sex college,0
making happy,5
tax longterm investment,1
no tipping restaurant,5
extreme parenting,5
immigration reform,4
bringing taiwan international community,5
capital gain,5
foreign student taking us university,0
teacher code conduct,5
experience teaching,0
need top third student teacher,0
technological innovation,5
israel,6
home schooling,0
catholic america,6
religious privilege,5
labor law,1
delayed child,5
affirmative action,5
tax break,1
bar,5
immigration,4
colorado,6
service employee,5
india,6
mandatory college,0
muslim,6
online course,5
miss america,6
minor violation,5
israel giving land,6
tip,5
vaccine,1
vaccination,1
language requirement school,0
nation,5
motherhood,1
none,5
chinese school,0
serious crime,5
business,5
israel,6
flat earth,5
restaurant,5
affirmative action,5
foreign language class,5
tax break,1
iran,6
school librarian,0
palestinian state,6
military intervention middle east,5
threat,5
college rating,0
family farm,5
high school,0
voting right,5
farm subsidy,1
dupont view marijuana,2
proper food preparation,5
electric car,5
foreign student taking us university,0
restaurant,5
men seeking female mate better shape fitness wise,5
illegal labor,1
young people,5
none,5
un control dns,5
bernie sander,6
farm,5
pot,2
u.s. embassy,6
affirmative action,5
outfield fence,5
refugee,4
electric car,5
israel,6
kid home,0
colorado,6
technology,5
consumer society,5
free speech,5
advice eating well,5
experience,5
gateway drug,2
people,5
capital gain,5
tsa regulation,1
legal immigration,4
real estate tax bill,1
charter school,0
sport program undergraduate school,0
us interference middle east,5
privatization,1
child earlier,5
vegetarianism,3
government compensation,1
law school exam,0
same sex college,0
grade college,0
politician,1
gateway drug,2
teaching reward system,5
solo vacation,5
oversight internet address,5
mandatory child,0
solo vacation,5
architectural treasure,5
intestate student,0
europe,6
conscription,1
veganism,3
technology,5
employer 's first impression,5
invention,5
farm laborer,5
legal immigrant,4
sport program undergraduate school,0
gene,5
midwife,1
justice ginsberg expressing opinion,5
us military action,5
tax break,1
beauty pageant,5
capital gain,5
way sell free,5
tax money going child illegal immigrant,5
people,5
waitstaff minimum wage,5
newspaper,5
nuclear transparency,5
prostitution,2
public university,0
immigration,4
mandatory immunization,1
public preschool,0
israel,6
phone public,5
election,1
child tax break,5
drug label,2
heritage,5
big bank,5
affirmative action,5
nato,6
beachfront home,5
brian epstein,6
internet research,5
mandatory college,0
home schoolers,0
capital gain,5
military intervention middle east,5
democracy,1
vaccination,1
veganism,3
tfa,6
grade college,0
legalized prostitution,2
sport program undergraduate school,0
language,5
teaching experience,0
mandatory child,0
marijuana,2
national security,5
processed food,5
bar,5
employer taking much credit,5
news,5
enough,5
public area,5
illegal immigrant,4
helping condo developer,5
opioid training,5
state citizenship,1
veganism,3
capital gain,5
using facebook,5
vaccination,1
growth rate,5
act score,5
farm,5
veganism,3
gateway drug,2
company hiring illegal immigrant,5
theft design ir,5
state citizenship,1
capital gain,5
workplace,0
foreign language class,5
job creation,5
improper use supplement,5
drone attack,5
refugee intake,4
problem,5
grade college,0
vegan,3
military intervention,5
tax break,1
cook,5
mexico,6
islam,6
number,5
waitstaff minimum wage,5
income tax,1
school,0
experience,5
school librarian,0
christian,6
hyper consumerism,5
inadequate funding,5
auditing algebra,0
time day affecting decision,5
vegan,3
casino,5
medical website,5
technology school,0
national security,5
human self delusion,5
declawing prevents cat overpopulation,1
vaccination,1
cat,5
tip,5
motherhood,1
teacbhratings system,5
romance,5
muslim immigrant,4
booking online,5
fruit veg price,5
syrian,6
illegal immigration,4
attack,5
government bailout bank,1
public preschool,0
basketball,0
electric car,5
europe,6
refugee,4
farm,5
arab jewish conflict,6
strict vegetarian,5
palestinian state,6
refugee,4
tax exemption,1
pot,2
dr. evans want pot business,5
hamas fatah unity,6
reparation,5
farm subsidy,1
tax break,1
privatization,1
marijuana gateway drug,2
threat,5
gateway drug,2
race based affirmative action,5
europe,6
parent,0
israel,6
hamas fatah unity,6
pot,2
overcrowding,5
medicine,5
u.s,6
state citizenship,1
cegep system,5
illegal immigration,4
american business model,5
israel,6
drug war,2
vegetarian,3
mother teresa,5
same sex college,0
inequality immigrant,4
teach,0
speech,5
status teacher,0
voting right,5
beachfront home,5
kid home,0
company researching dna,5
national security,5
vegetarian,3
migration,4
tip,5
workplace,0
company,5
privatization,1
reform cuba,1
computer education,0
gateway drug,2
living wage,5
human devolving,5
home birth,5
gateway drug,2
100 juice,5
home birth,5
tipping waitstaff,5
drilling,5
home birth,5
jerusalem,6
tip,5
electric car,5
electric car,5
parent,0
tax break,1
unemployment benefit,1
meat,5
library,0
rich politicans,5
technology,5
refugee,4
office layout,5
electric car,5
farm,5
marijuana,2
motherhood,1
bar,5
big farming,5
gateway drug,2
obesity,1
modern family,5
paying college,0
land,5
affirmative action,5
tax break nfl team,5
private beach,5
smart investment,5
big bank,5
meat consumption,5
dual citizenship,1
jail record,5
restaurant,5
high speed rail,5
nonprofit status,5
defeating isi,5
congressional hearing,5
common decency,5
office privacy,5
school,0
news social medium,5
attack,5
capital gain,5
us embassy,5
peace palestine israel,6
speaking language around,5
grade college,0
immunization,1
iran,6
harmful atmosphere gay,5
professional protestors,5
modern family,5
home schoolers,0
control,5
homeschooling,0
fact public school teacher n't best job,0
greece remaining euro,6
people,5
family trip,5
relation iran,6
teaching writing research paper,5
fair living wage,5
cherrypicking student,0
foreign language class,5
mental pornography,5
rich politicans,5
whether wife hurt husband without noticed,5
judge speaking,5
costing taxpayer,1
overcrowded national park,5
woman 's reproductive right,5
beachfront home,5
college student vote,0
experience,5
hamas fatah unity,6
electric car,5
waitstaff minimum wage,5
nation,5
u.s,6
home schoolers,0
electric car,5
woman,5
people,5
boycotting israel,6
land,5
happy hour,5
airline industry,5
adult,0
intellectual,5
beachfront home,5
u.s,6
school librarian,0
prostitution,2
right palestinian,6
tax credit,1
religious co existance,5
city,5
living wage,5
college kid tired ripped 1,5
school choice,0
tax break,1
accomplish tfa alumnus,5
school librarian,0
news,5
school,0
u.s. embassy,6
income,1
living wage,5
tax,1
government investment job program,5
facebook news,5
vaccination,1
sport,5
miss america pageant,5
interior enforcement,5
incompetent parent,0
math,0
israel,6
privatization,1
control,5
fossil fuel,5
school librarian,0
europe,6
palestinian state,6
head start program,5
judge,5
controlling birth rate,5
u.s. embassy,6
privatization,1
woman,5
medical website,5
royalty,5
attack,5
olympics,6
illegal labor,1
capital gain,5
sport program undergraduate school,0
harm,5
resident,5
home schoolers,0
meat,5
medical website,5
ivf,6
walmart,6
cook,5
vaccination,1
college student vote,0
government,1
prostitution,2
home schoolers,0
prostitution,2
woman education useful controlling population growth,5
veganism,3
gateway drug,2
charter school,0
reparation,5
consumption,5
iran,6
marijuana,2
medical website,5
prozac,5
woman,5
problem,5
public school,0
capital gain,5
high school,0
charging extra different item restaurant,5
disruptive kid,0
syria,6
comment section,5
low effort book,5
tax break,1
impeding inspector,5
charter school,0
comment section,5
big bank,5
affirmative action,5
tip,5
workplace,0
public school funding,0
land,5
right wing,5
illegal worker,5
sport program undergraduate school,0
newspaper,5
illegal immigration,4
iranian nuclear program,6
grade college,0
immigrant,4
farm subsidy,1
gateway drug,2
marriage,1
military style police unit,5
facebook,5
support kurd,5
farm subsidy,1
background check,5
vaccination,1
oil transportation ocean,5
vaccination,1
problem,5
tax break,1
immigration,4
architect,5
home schoolers,0
patent gene,5
illegal labor,1
bar,5
company,5
trickledown effect,5
auditing algebra,0
everyone,5
incentive based tipping system,5
legitimate threat,5
tax,1
worker,5
alcohol law,1
candidate 's spouse,5
possible un control internet,5
noncompete agreement,1
home schoolers,0
employee right,5
cherrypicking student,0
beauty contest,5
veganism,3
useful excercise college student,0
gateway drug,2
modern men,5
farm subsidy,1
c section,5
woman,5
cuban sanction,5
motherhood,1
israel,6
income,1
miss america,6
syria,6
street style,5
religious deed,5
jail record,5
capital gain,5
corruption law enforcement,1
tax break homeschooling parent,0
smart phone addiction,5
personal accountability,5
libertarian,1
farm subsidy,1
impeding inspector,5
regulation,1
sport program undergraduate school,0
overcrowding,5
none,5
obesity,1
sport program undergraduate school,0
reduce immigration,4
arab muslim,6
bible,6
u.s,6
felon,1
home birth,5
advice eating well,5
refugee,4
refugee,4
marijuana,2
processed food,5
restaurant,5
capital gain,5
bp disaster,5
privatization,1
teaching reward system,5
company,5
republican party,1
sanction,5
human nutrition,5
restaurant industry standard worker,5
partisan judge,5
home schoolers,0
cat,5
intestate student,0
school,0
woman,5
veganism,3
employee right,5
u.s,6
continuing education,0
marbury v madison,6
illegal immigration,4
farmer paying reasonable wage,5
teaching reward system,5
tipping culture,5
unfair intestate enrollment,1
tip,5
vegan vegetarian diet,3
iran,6
none,5
food additive,5
fossil fuel,5
city,5
universal preschool,0
experience,5
sport program undergraduate school,0
educational profit,5
advice,5
neutrality war,1
tip,5
none,5
side effect medicine,5
intestate student,0
capital gain tax,1
cruise missile barrage,5
overpriced airfare,5
charter school,0
capital gain,5
recognition palestinian,6
food labeling,5
immigration,4
ritual adult life,5
meat,5
income,1
euro zone,5
status teacher,0
u.s. embassy,6
government,1
unemployment benefit,1
marijuana legalization,2
b12 vitamin,5
threat,5
advice eating well,5
nation,5
myriad,5
agricultural subsidy,1
illegal immigration,4
bar,5
humanity every day,5
immigration,4
public school,0
public worker,5
violence,5
balance,5
student living condition,5
tipping wait bar staff appropriately,5
office layout,5
speech,5
diplomacy,1
status teacher,0
farm,5
interspecies genocide,1
tip,5
new employee,5
myriad,5
illegal labor,1
illegal labor,1
company,5
illegal immigration,4
casino,5
worker,5
modern men,5
athletic department revenue,5
cost food,5
felon,1
sexual education,0
illegal labor,1
capital gain,5
capital gain,5
adult,0
california bar exam,5
obama administration,1
american unemployment,1
wealthy american,5
foreign language class,5
immigrant,4
attack,5
status teacher,0
pornography,2
status teacher,0
teacher training us,0
beachfront home,5
machine,5
focus weed much rather harder drug solver addiction issue,5
vegetarian,3
employer 's first impression,5
none,5
facebook blog,5
national security,5
unfair intestate enrollment,1
monarch,5
restaurant,5
immigration,4
news social medium,5
parental involvement homework,0
libertarian,1
animal protein,5
growth rate,5
capital gain,5
sanction,5
beachfront home,5
flat partner,5
assad,6
restaurant tip insult,5
algebra,0
palestinian state,6
ritual adult life,5
newspaper,5
cat,5
restaurant japan,5
intestate student,0
declawing cat,1
palestine politics,6
screen,5
undocumented immigrant,4
prostitution,2
false intellectualism,5
people,5
mandatory child,0
mother teresa,5
threat,5
drug abuse result addictive personality,5
immigration,4
office layout,5
america 's fear,5
restaurant,5
bar,5
terrorism,1
minor violation,5
academic pressure,5
parent education,0
paying tax unused service,5
home schoolers,0
farming subsidy,1
phone public,5
vegetarian,3
medical website,5
processed food,5
prison rehabilitation punishment,5
real food,5
african american seek reparation west african kingdom,6
non compete,5
sanction,5
high school team,0
people,5
college endowment,0
job creation,5
farm subsidy,1
tip,5
firing people abusing free speech right,5
universal healthcare health care,5
partisan supreme court justice,5
happy hour,5
dual citizenship,1
workplace,0
daesh al queda,5
partisan judge,5
agricultural subsidy,1
fertility procedure,5
parent,0
annual review,5
emigration,4
improper use supplement,5
intestate student,0
prison,5
sport,5
iran,6
company,5
latino labor,5
home schoolers,0
us involvement israel,6
obesity,1
charter school,0
supporting public school,0
woman,5
walmart,6
unauthorized immigrant,4
10 foot rim,5
none,5
airline hub,5
safety,5
electric car,5
fee,5
fossil fuel drilling,5
vaccination,1
school access,0
refugee,4
new employee,5
growing intelligence,5
helicopter parenting,5
abusive environment,5
us embassy,5
paying college,0
electric car,5
control,5
bank,5
marijuana,2
student,0
adding casino,5
government control internet,5
recreation,5
company,5
american working farm,5
harm,5
school librarian,0
home birth,5
paying healthcare overweight,5
fee,5
preschool,0
news,5
wealthy college,0
islamic radicalism,6
helicopter parent,5
land,5
u.s,6
men,5
deference religion,5
public worker,5
motherhood,1
high speed rail,5
country working together climate change issue,5
vaccination,1
new employee,5
republican party,1
voting right criminal,5
harmful atmosphere gay,5
electric car,5
time parenting,5
grade college,0
home schoolers,0
tip,5
illegal immigrant,4
office layout,5
national security,5
affirmative action,5
miss america,6
patentable patentable,1
problem,5
vaccination,1
serious crime,5
free speech,5
felon,1
candidate 's spouse,5
vaccination,1
tax break,1
deportation,4
young people,5
israel,6
electric car,5
israel,6
teacher code conduct,5
capital punishment,5
stop muslim immigration,4
religious right,5
home schoolers,0
control,5
dream,5
dr. pinker 's view,5
law school,0
public school system,0
patent gene,5
reservation,5
new york city real estate,5
employer 's first impression,5
big bank,5
high paying job,5
nina,6
big bank,5
grade college,0
lack tip,5
gamble,5
drunk driving,5
home birth,5
length time took linda ronstadt inducted,5
worker,5
standardized testing,5
big bank,5
kid home,0
homeschooling,0
refugee intake,4
jerusalem,6
us human right,5
vaccination,1
pot,2
capital gain,5
supreme court influencing election,5
dunking basketball,5
none,5
former colonial power,5
office layout,5
judge,5
u.s,6
office layout,5
israel,6
legitimate threat,5
reform cuba,1
syria,6
public school,0
beachfront home,5
college free,0
home schooling,0
islam,6
disadvantaged student,0
low effort book,5
crime,5
deportation,4
us intervention syria,6
cat,5
reparation slavery,1
assad,6
tip,5
farm,5
home schoolers,0
marijuana legalization,2
genetic disposition,5
mandatory child,0
refugee,4
american,6
supreme court influencing election,5
mother teresa,5
palestinian,6
increase corporate capital gain tax,5
tip,5
people,5
private education,0
farm subsidy,1
mandatory college,0
fema,6
national security,5
capital gain,5
state citizenship,1
drug legalization,2
syria,6
african american seek reparation west african kingdom,6
sanction,5
charter school,0
helping condo developer,5
charter school,0
royal wedding,5
social medium,5
american political system,5
healthier,5
u.s,6
tax break,1
tip,5
tip,5
extreme parenting,5
palestinian state,6
privatization,1
capital gain,5
foreign student admission,0
cheating n't mention romance,5
public worker,5
